"date","geography","geography code","Rural Urban","Variable: All usual residents; measures: Value","Variable: Males; measures: Value","Variable: Females; measures: Value","Variable: Lives in a household; measures: Value","Variable: Lives in a communal establishment; measures: Value","Variable: Schoolchild or full-time student aged 4 and over at their non term-time address; measures: Value","Variable: Area (Hectares); measures: Value","Variable: Density (number of persons per hectare); measures: Value"
"2011","Darlington","E06000005","Total",105564,51483,54081,104111,1453,1218,19747.51,5.3
"2011","County Durham","E06000047","Total",513242,251280,261962,500288,12954,4705,222606.26,2.3
"2011","Hartlepool","E06000001","Total",92028,44751,47277,91091,937,780,9386.11,9.8
"2011","Middlesbrough","E06000002","Total",138412,67732,70680,136156,2256,1040,5387.47,25.7
"2011","Northumberland","E06000057","Total",316028,154124,161904,310591,5437,3922,501301.83,0.6
"2011","Redcar and Cleveland","E06000003","Total",135177,65655,69522,133929,1248,1096,24489.51,5.5
"2011","Stockton-on-Tees","E06000004","Total",191610,94082,97528,187959,3651,1991,20393.06,9.4
"2011","Gateshead","E08000037","Total",200214,97974,102240,197726,2488,1332,14234.74,14.1
"2011","Newcastle upon Tyne","E08000021","Total",280177,140226,139951,271212,8965,2586,11343.86,24.7
"2011","North Tyneside","E08000022","Total",200801,96883,103918,199142,1659,1550,8239.10,24.4
"2011","South Tyneside","E08000023","Total",148127,71560,76567,146729,1398,867,6441.31,23.0
"2011","Sunderland","E08000024","Total",275506,133953,141553,271884,3622,1531,13746.17,20.0
"2011","Blackburn with Darwen","E06000008","Total",147489,73547,73942,145827,1662,1467,13701.18,10.8
"2011","Blackpool","E06000009","Total",142065,69775,72290,137960,4105,1073,3488.10,40.7
"2011","Cheshire East","E06000049","Total",370127,181409,188718,365065,5062,6056,116637.63,3.2
"2011","Cheshire West and Chester","E06000050","Total",329608,160586,169022,326236,3372,4753,91665.60,3.6
"2011","Halton","E06000006","Total",125746,61368,64378,124874,872,1001,7909.52,15.9
"2011","Warrington","E06000007","Total",202228,100300,101928,198828,3400,2589,18065.39,11.2
"2011","Allerdale","E07000026","Total",96422,47371,49051,94970,1452,1182,124158.29,0.8
"2011","Barrow-in-Furness","E07000027","Total",69087,34185,34902,68392,695,737,7796.05,8.9
"2011","Carlisle","E07000028","Total",107524,52478,55046,106138,1386,1182,103929.92,1.0
"2011","Copeland","E07000029","Total",70603,35476,35127,69312,1291,789,73173.94,1.0
"2011","Eden","E07000030","Total",52564,26033,26531,51613,951,903,214235.65,0.2
"2011","South Lakeland","E07000031","Total",103658,50522,53136,100514,3144,1791,153362.00,0.7
"2011","Bolton","E08000001","Total",276786,136660,140126,274855,1931,2747,13980.34,19.8
"2011","Bury","E08000002","Total",185060,90588,94472,183025,2035,2472,9948.44,18.6
"2011","Manchester","E08000003","Total",503127,252623,250504,481030,22097,3736,11564.49,43.5
"2011","Oldham","E08000004","Total",224897,110155,114742,223170,1727,2118,14236.49,15.8
"2011","Rochdale","E08000005","Total",211699,103642,108057,209552,2147,2083,15808.07,13.4
"2011","Salford","E08000006","Total",233933,116782,117151,228346,5587,2045,9719.02,24.1
"2011","Stockport","E08000007","Total",283275,138400,144875,280915,2360,3722,12606.18,22.5
"2011","Tameside","E08000008","Total",219324,107650,111674,217736,1588,1769,10317.14,21.3
"2011","Trafford","E08000009","Total",226578,110959,115619,225277,1301,3435,10603.73,21.4
"2011","Wigan","E08000010","Total",317849,157996,159853,315794,2055,2601,18819.15,16.9
"2011","Burnley","E07000117","Total",87059,42794,44265,86117,942,862,11070.03,7.9
"2011","Chorley","E07000118","Total",107155,53708,53447,104277,2878,1244,20279.69,5.3
"2011","Fylde","E07000119","Total",75757,36781,38976,74035,1722,1160,16568.86,4.6
"2011","Hyndburn","E07000120","Total",80734,39977,40757,80088,646,672,7299.32,11.1
"2011","Lancaster","E07000121","Total",138375,66841,71534,129433,8942,1761,57585.64,2.4
"2011","Pendle","E07000122","Total",89452,44012,45440,88846,606,919,16936.37,5.3
"2011","Preston","E07000123","Total",140202,70284,69918,134392,5810,1537,14229.40,9.9
"2011","Ribble Valley","E07000124","Total",57132,27973,29159,55951,1181,1080,58316.11,1.0
"2011","Rossendale","E07000125","Total",67982,33367,34615,67262,720,851,13804.82,4.9
"2011","South Ribble","E07000126","Total",109057,53344,55713,108225,832,1273,11295.57,9.7
"2011","West Lancashire","E07000127","Total",110685,53840,56845,108689,1996,1365,34678.96,3.2
"2011","Wyre","E07000128","Total",107749,52225,55524,105962,1787,1325,28255.43,3.8
"2011","Knowsley","E08000011","Total",145893,69329,76564,144990,903,781,8646.93,16.9
"2011","Liverpool","E08000012","Total",466415,230483,235932,450085,16330,3283,11184.35,41.7
"2011","Sefton","E08000014","Total",273790,131237,142553,269697,4093,3000,15313.61,17.9
"2011","St. Helens","E08000013","Total",175308,86138,89170,173958,1350,1499,13638.25,12.9
"2011","Wirral","E08000015","Total",319783,153847,165936,316384,3399,3702,15704.94,20.4
"2011","East Riding of Yorkshire","E06000011","Total",334179,163388,170791,326951,7228,4469,240767.65,1.4
"2011","Kingston upon Hull, City of","E06000010","Total",256406,128420,127986,252748,3658,1488,7144.92,35.9
"2011","North East Lincolnshire","E06000012","Total",159616,78247,81369,157786,1830,1387,19184.49,8.3
"2011","North Lincolnshire","E06000013","Total",167446,82623,84823,165871,1575,1777,84631.29,2.0
"2011","York","E06000014","Total",198051,96254,101797,190392,7659,2638,27193.63,7.3
"2011","Craven","E07000163","Total",55409,26754,28655,54375,1034,1055,117738.81,0.5
"2011","Hambleton","E07000164","Total",89140,43982,45158,87321,1819,1706,131116.95,0.7
"2011","Harrogate","E07000165","Total",157869,77037,80832,153821,4048,2898,130793.68,1.2
"2011","Richmondshire","E07000166","Total",51965,27407,24558,47344,4621,926,131867.12,0.4
"2011","Ryedale","E07000167","Total",51751,25413,26338,50611,1140,928,150659.41,0.3
"2011","Scarborough","E07000168","Total",108793,52570,56223,106427,2366,1340,81654.13,1.3
"2011","Selby","E07000169","Total",83449,40947,42502,82725,724,1103,59931.19,1.4
"2011","Barnsley","E08000016","Total",231221,113634,117587,229539,1682,1681,32905.31,7.0
"2011","Doncaster","E08000017","Total",302402,149230,153172,297200,5202,2764,56799.22,5.3
"2011","Rotherham","E08000018","Total",257280,126247,131033,255334,1946,2178,28653.77,9.0
"2011","Sheffield","E08000019","Total",552698,272661,280037,539064,13634,5017,36794.79,15.0
"2011","Bradford","E08000032","Total",522452,257132,265320,515315,7137,4896,36641.72,14.3
"2011","Calderdale","E08000033","Total",203826,99627,104199,202376,1450,2168,36392.21,5.6
"2011","Kirklees","E08000034","Total",422458,208657,213801,416840,5618,4014,40859.65,10.3
"2011","Leeds","E08000035","Total",751485,367935,383550,731373,20112,7700,55172.44,13.6
"2011","Wakefield","E08000036","Total",325837,159913,165924,322264,3573,2843,33861.24,9.6
"2011","Derby","E06000015","Total",248752,123046,125706,244625,4127,2431,7803.11,31.9
"2011","Leicester","E06000016","Total",329839,162884,166955,321527,8312,3332,7331.48,45.0
"2011","Nottingham","E06000018","Total",305680,153777,151903,289738,15942,2556,7461.16,41.0
"2011","Rutland","E06000017","Total",37369,18915,18454,34252,3117,842,38151.51,1.0
"2011","Amber Valley","E07000032","Total",122309,60192,62117,121167,1142,1338,26538.48,4.6
"2011","Bolsover","E07000033","Total",75866,37388,38478,75251,615,500,16033.04,4.7
"2011","Chesterfield","E07000034","Total",103788,50900,52888,102681,1107,1075,6603.52,15.7
"2011","Derbyshire Dales","E07000035","Total",71116,35071,36045,69562,1554,1345,79245.21,0.9
"2011","Erewash","E07000036","Total",112081,54934,57147,110939,1142,984,10962.93,10.2
"2011","High Peak","E07000037","Total",90892,44774,46118,89867,1025,1321,53914.69,1.7
"2011","North East Derbyshire","E07000038","Total",99023,48564,50459,98240,783,1016,27560.03,3.6
"2011","South Derbyshire","E07000039","Total",94611,46963,47648,93133,1478,1121,33812.06,2.8
"2011","Blaby","E07000129","Total",93915,46228,47687,92894,1021,1201,13046.66,7.2
"2011","Charnwood","E07000130","Total",166100,82913,83187,158719,7381,2513,27905.68,6.0
"2011","Harborough","E07000131","Total",85382,42353,43029,84008,1374,1626,59177.75,1.4
"2011","Hinckley and Bosworth","E07000132","Total",105078,51700,53378,104275,803,1222,29734.91,3.5
"2011","Melton","E07000133","Total",50376,24718,25658,49916,460,726,48137.68,1.0
"2011","North West Leicestershire","E07000134","Total",93468,46335,47133,92697,771,1151,27932.85,3.3
"2011","Oadby and Wigston","E07000135","Total",56170,27169,29001,53765,2405,905,2352.33,23.9
"2011","Boston","E07000136","Total",64637,31536,33101,63736,901,651,36153.77,1.8
