la_name,Geography1,population,money_per_la,source,money_per_head
Ashford,Non-metropolitan District,130032,253389,ACE capital kickstart,1.95
Babergh,Non-metropolitan District,92036,28822,ACE capital kickstart,0.31
Barking and Dagenham,London Borough,212906,410000,ACE capital kickstart,1.93
Birmingham,Metropolitan District,1141816,258177,ACE capital kickstart,0.23
Bolton,Metropolitan District,287550,400000,ACE capital kickstart,1.39
Brighton and Hove,Unitary Authority,290885,865848,ACE capital kickstart,2.98
"Bristol, City of",Unitary Authority,463377,6200994,ACE capital kickstart,13.38
Camden,London Borough,270029,710999,ACE capital kickstart,2.63
Cheshire West and Chester,Unitary Authority,343071,82476,ACE capital kickstart,0.24
Colchester,Non-metropolitan District,194706,992271,ACE capital kickstart,5.1
Cornwall,Unitary Authority,569578,2000000,ACE capital kickstart,3.51
Coventry,Metropolitan District,371521,3039200,ACE capital kickstart,8.18
Derby,Unitary Authority,257302,153500,ACE capital kickstart,0.6
Dorset,Unitary Authority,378508,187401,ACE capital kickstart,0.5
Eastbourne,Non-metropolitan District,103745,341002,ACE capital kickstart,3.29
Gloucester,Non-metropolitan District,129128,128500,ACE capital kickstart,1
Hackney,London Borough,281120,124134,ACE capital kickstart,0.44
Hammersmith and Fulham,London Borough,185143,250857,ACE capital kickstart,1.35
Haringey,London Borough,268647,415580,ACE capital kickstart,1.55
"Herefordshire, County of",Unitary Authority,192801,210380,ACE capital kickstart,1.09
Ipswich,Non-metropolitan District,136913,474652,ACE capital kickstart,3.47
Knowsley,Metropolitan District,150862,3000000,ACE capital kickstart,19.89
Lambeth,London Borough,326034,1461870,ACE capital kickstart,4.48
Leeds,Metropolitan District,793139,2312650,ACE capital kickstart,2.92
Leicester,Unitary Authority,354224,645586,ACE capital kickstart,1.82
Liverpool,Metropolitan District,498042,123732,ACE capital kickstart,0.25
Maidstone,Non-metropolitan District,171826,264514,ACE capital kickstart,1.54
Manchester,Metropolitan District,552858,23141288,ACE capital kickstart,41.86
Merton,London Borough,206548,253246,ACE capital kickstart,1.23
Milton Keynes,Unitary Authority,269457,141392,ACE capital kickstart,0.52
Newcastle upon Tyne,Metropolitan District,302820,85911,ACE capital kickstart,0.28
Newcastle-under-Lyme,Non-metropolitan District,129441,48541,ACE capital kickstart,0.38
Newham,London Borough,353134,94033,ACE capital kickstart,0.27
Northumberland,Unitary Authority,322434,30651,ACE capital kickstart,0.1
Norwich,Non-metropolitan District,140573,28915,ACE capital kickstart,0.21
Nottingham,Unitary Authority,332900,411660,ACE capital kickstart,1.24
Oxford,Non-metropolitan District,152457,163965,ACE capital kickstart,1.08
Plymouth,Unitary Authority,262100,1326735,ACE capital kickstart,5.06
Rotherham,Metropolitan District,265411,499999,ACE capital kickstart,1.88
Sheffield,Metropolitan District,584853,52600,ACE capital kickstart,0.09
Shropshire,Unitary Authority,323136,130000,ACE capital kickstart,0.4
Somerset West and Taunton,Non-metropolitan District,155115,389000,ACE capital kickstart,2.51
Southwark,London Borough,318830,124000,ACE capital kickstart,0.39
Stratford-on-Avon,Non-metropolitan District,130098,25000,ACE capital kickstart,0.19
Sunderland,Metropolitan District,277705,1380100,ACE capital kickstart,4.97
Tameside,Metropolitan District,226493,234721,ACE capital kickstart,1.04
Tower Hamlets,London Borough,324745,3067500,ACE capital kickstart,9.45
Tunbridge Wells,Non-metropolitan District,118724,291638,ACE capital kickstart,2.46
Wakefield,Metropolitan District,348312,1218560,ACE capital kickstart,3.5
Westminster,London Borough,261317,71672,ACE capital kickstart,0.27
Wolverhampton,Metropolitan District,263357,159758,ACE capital kickstart,0.61
Worcester,Non-metropolitan District,101222,145915,ACE capital kickstart,1.44
York,Unitary Authority,210618,28000,ACE capital kickstart,0.13
Adur,Non-metropolitan District,64301,56850,ACE grants round 1,0.88
Allerdale,Non-metropolitan District,97761,1064642,ACE grants round 1,10.89
Amber Valley,Non-metropolitan District,128147,212606,ACE grants round 1,1.66
Arun,Non-metropolitan District,160758,147200,ACE grants round 1,0.92
Ashfield,Non-metropolitan District,127918,96228,ACE grants round 1,0.75
Ashford,Non-metropolitan District,130032,492372,ACE grants round 1,3.79
Babergh,Non-metropolitan District,92036,121713,ACE grants round 1,1.32
Barking and Dagenham,London Borough,212906,784743,ACE grants round 1,3.69
Barnet,London Borough,395869,1599175,ACE grants round 1,4.04
Barnsley,Metropolitan District,246866,1148564,ACE grants round 1,4.65
Barrow-in-Furness,Non-metropolitan District,67049,175000,ACE grants round 1,2.61
Basildon,Non-metropolitan District,187199,402613,ACE grants round 1,2.15
